fact_card_key,customer_key,card_id,card_type,card_status,issue_date,expiry_date,credit_limit,utilization_pct,activation_flag
1,1,CARD0000000001,CREDIT_STANDARD,ACTIVE,2025-12-15,2030-12-14,20000000.0,45.86,True
2,2,CARD0000000002,DEBIT,ACTIVE,2022-12-10,2027-12-09,0.0,0.0,True
3,2,CARD0000000003,CREDIT_GOLD,ACTIVE,2022-01-02,2027-01-01,200000000.0,17.63,True
4,3,CARD0000000004,DEBIT,ACTIVE,2023-02-28,2028-02-27,0.0,0.0,True
5,4,CARD0000000005,CREDIT_GOLD,BLOCKED,2023-06-24,2028-06-22,120000000.0,5.38,True
6,5,CARD0000000006,DEBIT,EXPIRED,2021-07-08,2026-07-07,0.0,0.0,True
7,5,CARD0000000007,DEBIT,ACTIVE,2022-04-27,2027-04-26,0.0,0.0,True
8,6,CARD0000000008,DEBIT,ACTIVE,2024-07-10,2029-07-09,0.0,0.0,True
9,8,CARD0000000009,CREDIT_GOLD,ACTIVE,2022-12-16,2027-12-15,300000000.0,27.38,True
10,9,CARD0000000010,CREDIT_GOLD,ACTIVE,2025-06-23,2030-06-22,120000000.0,76.95,True
11,10,CARD0000000011,CREDIT_STANDARD,ACTIVE,2025-04-21,2030-04-20,200000000.0,32.83,True
12,11,CARD0000000012,CREDIT_STANDARD,ACTIVE,2024-08-15,2029-08-14,80000000.0,70.45,True
13,11,CARD0000000013,DEBIT,ACTIVE,2026-06-04,2031-06-03,0.0,0.0,True
14,12,CARD0000000014,CREDIT_PLATINUM,ACTIVE,2026-03-05,2031-03-04,50000000.0,49.52,True
15,14,CARD0000000015,DEBIT,ACTIVE,2024-01-18,2029-01-16,0.0,0.0,True
16,14,CARD0000000016,DEBIT,ACTIVE,2022-11-23,2027-11-22,0.0,0.0,True
17,15,CARD0000000017,CREDIT_STANDARD,ACTIVE,2025-05-04,2030-05-03,50000000.0,76.83,True
18,17,CARD0000000018,DEBIT,ACTIVE,2023-07-19,2028-07-17,0.0,0.0,True
19,18,CARD0000000019,CREDIT_PLATINUM,ACTIVE,2025-05-14,2030-05-13,300000000.0,44.69,True
20,18,CARD0000000020,DEBIT,ACTIVE,2024-07-18,2029-07-17,0.0,0.0,True
21,19,CARD0000000021,DEBIT,ACTIVE,2024-04-05,2029-04-04,0.0,0.0,True
22,20,CARD0000000022,CREDIT_STANDARD,BLOCKED,2024-10-15,2029-10-14,50000000.0,46.04,True
23,20,CARD0000000023,CREDIT_STANDARD,ACTIVE,2021-11-10,2026-11-09,20000000.0,24.53,True
24,21,CARD0000000024,CREDIT_GOLD,ACTIVE,2022-01-22,2027-01-21,200000000.0,0.39,True
25,22,CARD0000000025,CREDIT_PLATINUM,EXPIRED,2021-05-12,2026-05-11,120000000.0,64.89,True
26,23,CARD0000000026,DEBIT,ACTIVE,2022-04-01,2027-03-31,0.0,0.0,True
27,24,CARD0000000027,DEBIT,ACTIVE,2022-09-07,2027-09-06,0.0,0.0,True
28,24,CARD0000000028,DEBIT,ACTIVE,2023-03-09,2028-03-07,0.0,0.0,True
29,25,CARD0000000029,CREDIT_STANDARD,ACTIVE,2025-09-23,2030-09-22,20000000.0,30.68,True
30,27,CARD0000000030,CREDIT_PLATINUM,ACTIVE,2022-12-01,2027-11-30,300000000.0,15.94,True
